Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-31,17:00:00,12260.73,12290.36,12260.73,12285.91,8988915,0
2017-03-31,18:00:00,12282.98,12312.87,12275.91,12312.87,44622196,0
2017-04-03,10:00:00,12368.82,12375.45,12349.2,12359.54,12842716,0
2017-04-03,11:00:00,12358.94,12358.94,12329.55,12340.34,8978430,0
2017-04-03,12:00:00,12341.53,12365.37,12331.02,12365.37,6694711,0
2017-04-03,13:00:00,12364.07,12367.25,12345.3,12345.35,5905068,0
2017-04-03,14:00:00,12345.39,12345.39,12329.08,12337.3,5052173,0
2017-04-03,15:00:00,12337.19,12342.26,12324.45,12336.8,5452371,0
2017-04-03,16:00:00,12336.51,12340.11,12301.31,12304.95,7253902,0
2017-04-03,17:00:00,12304.66,12311.26,12272.19,12272.19,10183095,0
2017-04-03,18:00:00,12274.88,12279.22,12257.2,12257.2,26138279,0
2017-04-04,10:00:00,12259.2,12259.45,12239.64,12250.7,18071128,0
2017-04-04,11:00:00,12249.24,12255.27,12225.8,12243.38,12058337,0
2017-04-04,12:00:00,12242.1,12248.11,12228.04,12237.1,12259226,0
2017-04-04,13:00:00,12238.03,12256.07,12238.03,12252.29,15257908,0
2017-04-04,14:00:00,12252.85,12253.82,12235.62,12237.86,6971984,0
2017-04-04,15:00:00,12237.96,12250.68,12231.73,12242.45,7866724,0
2017-04-04,16:00:00,12243.32,12272.66,12242.85,12267.59,8722717,0
2017-04-04,17:00:00,12270.3,12278.52,12256.13,12271.31,8185365,0
2017-04-04,18:00:00,12271.59,12287.62,12268.61,12278.49,5994681,0
2017-04-05,10:00:00,12278.93,12283.61,12246.42,12252.77,10775404,0
2017-04-05,11:00:00,12253.7,12264.66,12238.92,12245,6168303,0
2017-04-05,12:00:00,12245.53,12259.55,12245.3,12250.49,5475002,0
2017-04-05,13:00:00,12250.32,12251.86,12240.44,12242.11,4333410,0
2017-04-05,14:00:00,12240.33,12247.54,12216.16,12240.81,5691762,0
2017-04-05,15:00:00,12241.01,12267.26,12235.95,12242.09,6660785,0
2017-04-05,16:00:00,12242.58,12277.04,12240.83,12273.99,7872419,0
2017-04-05,17:00:00,12268.12,12290.32,12260.65,12263.41,10026152,0
2017-04-05,18:00:00,12263.07,12263.45,12213,12217.54,29817790,0
2017-04-06,10:00:00,12144.27,12150.46,12119.94,12123.44,12859914,0
2017-04-06,11:00:00,12121.73,12174.02,12119.5,12164.05,6982404,0
2017-04-06,12:00:00,12163.79,12170.21,12146.67,12161.65,4870399,0
2017-04-06,13:00:00,12162.05,12202.34,12162.05,12189.29,3812673,0
2017-04-06,14:00:00,12189.04,12219.19,12186.57,12204.57,5486092,0
2017-04-06,15:00:00,12202.22,12207.87,12194.68,12201.61,4341286,0
2017-04-06,16:00:00,12202.11,12215.47,12188.6,12212.73,6772548,0
2017-04-06,17:00:00,12214.57,12232.49,12200.86,12224.3,8186530,0
2017-04-06,18:00:00,12224.73,12242.36,12222.8,12230.89,22490408,0
2017-04-07,10:00:00,12160.53,12190.94,12156.54,12168.51,8739889,0
2017-04-07,11:00:00,12168.05,12175.09,12154.11,12159.18,4663764,0
2017-04-07,12:00:00,12159.38,12181.36,12157.17,12175.27,5889550,0
